abbc	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
abbc	Relabel model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 1 2 2 2 2 2 2 1 2 2 2 1 2 2 1 2 2 2 2 2 2 2 2
abbc	Gold	0 0 0 0 0 0 0 0 0 0 1 0 2 1 2 2 0 2 1 0 1 2 0 0 1 1 0 0 1 2 2 2 2 0 1 0 2 0 2 0 1 0 2 0 2 0 2 2 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 1 1
afck	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
afck	Relabel model	5 6 6 5 5 6 6 6 5 5 5 5 5 5 6 5 5 6 5 5 5 6 5 6 5 5 5 5 5 6 6 6 5 6 6 6 5 6 6 6 6 6 5 6 6 5 6 6
afck	Gold	0 4 0 3 2 0 0 6 2 2 2 0 0 4 0 4 6 6 3 0 2 0 5 2 0 2 6 4 4 4 1 0 0 6 3 6 2 4 2 6 4 6 0 4 4 3 2 4
bove	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 3 3 3 3 3
chct	Gold	1 1 3 1 1 3 1 1 1 2 1 2 1 1 2 1 2 0 2 1 1 2 2 2 2 1 2 2 2 0 2 1 1 1 1 1 2 1 1 1 1 2 1 3 1 1 1 2 1 2 1 2 3 2 2 1 1 1 1 1 1 2 2 3
clck	Main model	0 0 0 0 0 0 0 0
clck	Relabel model	0 0 0 0 0 0 0 0
clck	Gold	2 0 0 0 0 2 0 0
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	0 0 2 0 1 0 0 0 0 0 0 0 2 2 0 1 0 2 0 0
faan	Gold	2 0 0 1 1 2 0 2 1 2 1 0 2 0 1 2 0 0 1 0
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	0 0 0 0 2 0 2 2 0 2 0 0 0 2 2 0
faly	Gold	3 2 0 2 1 1 1 3 3 0 3 2 3 3 1 2
fani	Main model	0 0 0 0 0 0 0 0
fani	Relabel model	1 1 1 1 1 1 1 1
fani	Gold	0 1 0 0 0 1 0 0
