abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Gold	0 1 0 1 0 1 0 2 0 0 0 2 0 0 0 1 0 2 1 1 0 0 2 1 2 2 0 1 1 1 0 2 2 2 0 0 0 0 1 1
afck	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
afck	Relabel model	3 1 1 1 3 3 1 3 3 1 1 3 1 3 1 1 3 3 3 3 3 3 1 1 1 3 3 3 3 1 1 3
afck	Gold	6 6 4 0 6 2 0 0 0 5 2 2 0 0 0 2 2 2 0 6 2 2 3 2 3 6 2 0 0 2 6 2
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Gold	1 2 1 1 2 1 0 2 1 3 2 3 0 2 2 2 2 2 2 2 1 3 1 2 1 2 1 1 2 3 2 2
clck	Main model	1 1 1 1
clck	Relabel model	0 0 0 0
clck	Gold	2 0 0 2
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Gold	0 2 0 2 1 0 2 0 2 2 2 2 0 0 0 2
faly	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2
